,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,xA,xB,xC,xD,xE,xF,
0x,"nop","push x","push y","push z","push w","push a","push i","push j","push f","push.b $00","push.w $0000","pop x","pop y","pop z","pop w","pop a",
1x,"pop i","pop j","pop f","load a,i","load z,i","load w,i","load a,j","load x,j","load y,j","load x,$0000","load y,$0000","load z,$0000","load w,$0000","load a,$0000","load i,$0000","load j,$0000",
2x,"store i,a","store i,w","store i,z","store j,a","store j,x","store j,y","store $0000,x","store $0000,y","store $0000,z","store $0000,w","store $0000,a","store $0000,i","store $0000,j","call $0000","call.eq $0000","call.neq $0000",
3x,"call.gt $0000","call.lt $0000","call.z $0000","call.nz $0000","return","cpy a,x","cpy a,y","cpy a,z","cpy a,w","cpy x,a","cpy y,a","cpy z,a","cpy w,a","set x,$00","set y,$00","set z,$00",
4x,"set w,$00","set a,$00","set i,$0000","set j,$0000","add a,x","add a,y","add a,z","add a,w","add i,j","add i,a","add i,z","add i,w","add j,a","add j,x","add j,y","add i,$0000",
5x,"add j,$0000","add x,$00","add y,$00","add z,$00","add w,$00","add a,$00","sub a,x","sub a,y","sub a,z","sub a,w","sub x,$00","sub y,$00","sub z,$00","sub w,$00","sub a,$00","mul a,x",
6x,"mul a,$00","mul i,j","mul i,$0000","mul j,$0000","div a,x","div a,$00","div i,j","div i,$0000","div j,$0000","mod a,x","mod a,$00","mod i,j","mod i,$0000","mod j,$0000","neg a","neg x",
7x,"inc a","inc x","inc y","inc z","inc w","inc i","inc j","dec a","dec x","dec y","dec z","dec w","dec i","dec j","cmp a,x","cmp a,y",
8x,"cmp a,z","cmp a,w","cmp a","cmp x","cmp y","cmp z","cmp w","cmp i","cmp j","cmp x,$00","cmp y,$00","cmp z,$00","cmp w,$00","cmp a,$00","cmp i,j","cmp i,$0000",
9x,"cmp j,$0000","bit x,$00","bit y,$00","bit z,$00","bit w,$00","bit a,$00","and a,x","and a,y","and a,z","and a,w","and x,$00","and y,$00","and z,$00","and w,$00","and a,$00","or a,x",
Ax,"or a,y","or a,z","or a,w","or x,$00","or y,$00","or z,$00","or w,$00","or a,$00","xor a,x","xor a,y","xor a,z","xor a,w","xor x,$00","xor y,$00","xor z,$00","xor w,$00",
Bx,"xor a,$00","not x","not y","not z","not w","not a","shl a,$00","shr a,$00","jmp $0000","jmp i","jmp j","jmp i,a","jmp j,a","jmp $0000,a","rjmp $00","jmpt $0000,a",
Cx,"callt $0000,a","jmp.eq $0000","rjmp.eq $00","jmp.neq $0000","rjmp.neq $00","jmp.gt $0000","rjmp.gt $00","jmp.lt $0000","rjmp.lt $00","jmp.z $0000","rjmp.z $00","jmp.nz $0000","rjmp.nz $00","jmp.c $0000","int $00","resume",
Dx,"sec","clc","dbr $0000","dba $00","dbb","dbn $0000","dbo $00","sti","rti","nop","nop","nop","nop","nop","nop","nop",
Ex,"nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop",
Fx,"nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop","nop",
